temp    pres    rho
247.382 332.152 0.00467734
247.749 326.191 0.0045866
248.114 320.387 0.00449836
248.476 314.734 0.00441254
248.839 309.176 0.0043283
249.2 303.764 0.00424638
249.561 298.443 0.00416595
249.92 293.259 0.00408773
250.276 288.208 0.0040116
250.633 283.24 0.00393683
250.987 278.397 0.00386405
251.343 273.632 0.00379255
251.696 268.987 0.00372293
252.046 264.456 0.00365514
252.398 259.999 0.00358853
252.747 255.654 0.00352368
253.096 251.377 0.00345995
253.443 247.211 0.00339796
253.787 243.155 0.00333768
254.132 239.162 0.00327842
254.473 235.278 0.00322085
254.815 231.453 0.00316423
255.154 227.734 0.00310925
255.489 224.116 0.00305584
255.825 220.552 0.0030033
256.157 217.083 0.00295223
256.487 213.703 0.00290252
256.817 210.372 0.00285361
257.145 207.123 0.00280595
257.474 203.92 0.00275903
257.8 200.792 0.00271327
258.125 197.736 0.00266862
258.45 194.723 0.00262465
258.772 191.78 0.00258176
259.093 188.906 0.00253992
259.414 186.072 0.00249872
259.733 183.304 0.00245852
260.053 180.574 0.00241893
260.37 177.905 0.00238028
260.686 175.294 0.0023425
261.002 172.718 0.00230528
261.317 170.196 0.00226888
261.63 167.729 0.00223332
261.944 165.295 0.00219827
262.255 162.918 0.00216409
262.567 160.572 0.00213039
262.876 158.286 0.00209759
263.181 156.059 0.00206569
263.487 153.862 0.00203424
263.79 151.722 0.00200364
264.093 149.61 0.00197348
264.393 147.551 0.00194411
264.69 145.541 0.00191548
264.988 143.557 0.00188724
265.284 141.619 0.00185969
265.576 139.727 0.00183282
265.87 137.858 0.00180631
266.16 136.034 0.00178047
266.448 134.253 0.00175527
266.736 132.494 0.00173039
267.021 130.776 0.00170613
267.308 129.078 0.00168217
267.591 127.417 0.00165877
267.873 125.792 0.00163589
268.155 124.186 0.0016133
268.436 122.613 0.0015912
268.714 121.072 0.00156959
268.993 119.55 0.00154824
269.27 118.059 0.00152737
269.547 116.586 0.00150675
269.822 115.144 0.0014866
270.095 113.734 0.00146691
270.368 112.339 0.00144746
270.639 110.975 0.00142845
270.65 109.639 0.00141119
270.65 108.315 0.00139416
270.65 107.018 0.00137746
270.65 105.747 0.0013611
270.65 104.488 0.00134489
270.65 103.254 0.00132901
270.65 102.032 0.00131329
270.65 100.836 0.00129788
270.65 99.6641 0.00128281
270.65 98.5036 0.00126787
270.65 97.3676 0.00125325
270.65 96.2554 0.00123893
270.65 95.1533 0.00122475
270.65 94.0744 0.00121086
270.65 93.0181 0.00119726
270.65 91.9712 0.00118379
270.65 90.9464 0.0011706
270.65 89.9307 0.00115752
270.65 88.9366 0.00114473
270.65 87.964 0.00113221
270.65 86.9997 0.0011198
270.65 86.0564 0.00110766
270.65 85.1335 0.00109578
270.65 84.2183 0.001084
270.65 83.3223 0.00107247
270.65 82.4448 0.00106117
270.65 81.5744 0.00104997
270.65 80.7218 0.00103899
270.65 79.8866 0.00102824
270.65 79.0582 0.00101758
270.65 78.2471 0.00100714
270.65 77.4425 0.000996785
270.65 76.6552 0.000986652
270.65 75.8852 0.000976741
270.65 75.1211 0.000966907
270.65 74.3736 0.000957285
270.65 73.6414 0.00094786
270.65 72.9147 0.000938506
270.65 72.2019 0.000929332
270.65 71.5022 0.000920326
270.65 70.8077 0.000911387
270.65 70.1258 0.000902609
270.65 69.4564 0.000893995
270.65 68.792 0.000885442
270.65 68.1403 0.000877054
270.65 67.5014 0.000868831
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65 0 0
270.65
